Account # ,First Name ,Last Name ,Address                   ,Town                             ,Provice ,Country ,Email                                ,Phone          ,Package_id ,AP_id
10000     ,Vanessa    ,Newman    ,907 Sanguine Pth.         ,Waiville                         ,Ontario ,Canada  ,vnewman@catdogburger.com             ,(945) 308-0092 ,0          ,0
10001     ,Edward     ,Dyer      ,650 Trepidation Ave.      ,Moose Liambriri                  ,Ontario ,Canada  ,edyer@bigdogpizza.com                ,(937) 639-9014 ,0          ,5
10002     ,Victoria   ,MacLeod   ,280 Golden Alley          ,Ranskel                          ,Ontario ,Canada  ,vmacleod@lostmytoothdentist.com      ,(566) 514-0028 ,1          ,8
10003     ,Connor     ,Knox      ,691 Jade Way              ,San Laie                         ,Ontario ,Canada  ,cknox@haveanitchytoe.com             ,(431) 480-8885 ,3          ,0
10004     ,Piers      ,Peake     ,770 Basilisk Pthw.        ,Fort Unhurst                     ,Ontario ,Canada  ,ppeake@treesgonewild.com             ,(649) 530-7829 ,4          ,4
10005     ,Christian  ,Johnston  ,722 Riverside Pass        ,Great Pencham                    ,Ontario ,Canada  ,cjohnston@goskydivingonmars.com      ,(783) 638-0301 ,5          ,1
10006     ,Julian     ,Oliver    ,149 Corling Route         ,Grand Ngateslac                  ,Ontario ,Canada  ,joliver@haveaschnitzel.com           ,(223) 666-4938 ,4          ,2
10007     ,Lauren     ,McGrath   ,510 Rochtona Way          ,Mootreecha                       ,Ontario ,Canada  ,lmcgrath@extracheeselasagna.com      ,(938) 972-7996 ,4          ,6
10008     ,Joanne     ,McDonald  ,657 Wakegonie Ave.        ,Miside                           ,Ontario ,Canada  ,jmcdonald@spicyicecream.com          ,(225) 950-8376 ,3          ,8
10009     ,Neil       ,Taylor    ,208 Islingdover Pass      ,Thorpe                           ,Ontario ,Canada  ,ntaylor@tacobelisnotmexican.com      ,(327) 954-9695 ,2          ,5
10010     ,Lillian    ,Nash      ,849 Invisible Way         ,Sandgasp Upon Alncho             ,Ontario ,Canada  ,lnash@dontrobbanks.com               ,(920) 402-1439 ,5          ,0
10011     ,Jasmine    ,Cornish   ,745 Flowing Ave.          ,Bridombrna                       ,Ontario ,Canada  ,jcornish@whereiswaldo.com            ,(831) 570-3463 ,0          ,5
10012     ,Samantha   ,Mackay    ,85 Hungry Ave.            ,Ninggrayl                        ,Ontario ,Canada  ,smackay@beyondmeatisgross.com        ,(593) 369-2451 ,1          ,8
10013     ,Owen       ,Butler    ,106 Everlasting Passage   ,West Georgencou                  ,Ontario ,Canada  ,obutler@gohunting.com                ,(446) 509-3050 ,4          ,0
10014     ,John       ,Parsons   ,720 Lightning Hwy.        ,Burtrois                         ,Ontario ,Canada  ,jparsons@wherearemykeys.com          ,(979) 663-6308 ,2          ,8
10015     ,Pippa      ,Newman    ,107 Fallen Star Way       ,Vicclun Heath                    ,Ontario ,Canada  ,pnewman@whoatemysandwich.com         ,(431) 540-9702 ,3          ,9
10016     ,Nicola     ,Butler    ,284 Gladborough St.       ,Derstur                          ,Ontario ,Canada  ,nbutler@cleanyourroom.com            ,(930) 900-7094 ,1          ,9
10017     ,Jack       ,Turner    ,91 Barringgus Trail       ,La Em                            ,Ontario ,Canada  ,jturner@haveaniceday.com             ,(724) 876-1533 ,4          ,5
10018     ,Vanessa    ,Ogden     ,181 Wallcola Pthw.        ,South Coketyne                   ,Ontario ,Canada  ,vogden@rainbowsandbutterflies.com    ,(481) 436-3069 ,1          ,4
10019     ,Carol      ,Harris    ,334 Kirdale Route         ,East Wesbru                      ,Ontario ,Canada  ,charris@butterfries.com              ,(237) 404-7587 ,4          ,0
10020     ,Yvonne     ,Peters    ,578 Restless Hwy.         ,Raywed Valley                    ,Ontario ,Canada  ,ypeters@arewethereyet.com            ,(979) 566-7960 ,1          ,6
10021     ,Christian  ,Thomson   ,134 Emerald St.           ,Naceodeal                        ,Ontario ,Canada  ,cthomson@programmersarethebest.com   ,(888) 806-6347 ,2          ,6
10022     ,Carol      ,Manning   ,579 Crystal Way           ,Port Gonsainte Under Francesshil ,Ontario ,Canada  ,cmanning@buildanapp.com              ,(879) 951-0306 ,3          ,1
10023     ,Leonard    ,White     ,307 Butcher Pthw.         ,Wleyhar Beach                    ,Ontario ,Canada  ,lwhite@alwaysrecycle.com             ,(796) 749-6694 ,1          ,2
10024     ,Edward     ,Vaughan   ,663 Five Mile Hwy.        ,Moose Har                        ,Ontario ,Canada  ,evaughan@gotoshcool.com              ,(435) 272-8988 ,2          ,3
10025     ,Ella       ,MacDonald ,752 Scorpion Pass         ,Mensmore                         ,Ontario ,Canada  ,emacdonald@dontbemean.com            ,(904) 275-5872 ,2          ,2
10026     ,Mary       ,Dickens   ,985 Emdiac Ave.           ,Rseatirket Bay                   ,Ontario ,Canada  ,mdickens@laughoutloud.com            ,(700) 621-8433 ,3          ,5
10027     ,Keith      ,Allan     ,498 Wellingsend Track     ,Red Stonrnard                    ,Ontario ,Canada  ,kallan@whatistofu.com                ,(727) 958-0663 ,4          ,5
10028     ,Irene      ,Rees      ,262 Wesheim Rd.           ,Port Crookjunc-In-Fleetgee       ,Ontario ,Canada  ,irees@coronavirussucks.com           ,(870) 318-2065 ,1          ,2
10029     ,Isaac      ,White     ,115 Wellingtown Passage   ,Thirsknagerahampton              ,Ontario ,Canada  ,iwhite@startabusiness.com            ,(384) 844-1817 ,2          ,2
10030     ,Stephen    ,Miller    ,871 Falcon Claw Pth.      ,New Portdge                      ,Ontario ,Canada  ,smiller@beagamer.com                 ,(213) 925-8333 ,3          ,1
